요청아이디,콘텐츠아이디,제목,주소,도로명주소,소개,변경사항
977,CONT_000000000501299,퍼시픽 리솜 엘마리노 뷔페,제주특별자치도 서귀포시 색달동 2950-5 ,,삼면이 바다 전망인 오션뷰 파노라마 뷔페,"1. 상세정보 내용 수정환상적인 제주 중문 바다를 보며 프리미엄 뷔페를 즐길 수 있습니다. 통유리 너머 마라도·가파도까지 보이는 광활한 뷰와 해넘이의 장관을 만끽할 수 있는 아름다운 공간입니다. 싱싱한 재료를 엄선하여 제철 회와 각종 해산물은 물론 고기국수, 돔베고기 등 제주 음식과 한식, 중식, 양식 등 다양한 메뉴를 제공합니다. 독립적인 다이닝 공간을 포함하여 200여 석의 쾌적하고 넓은 좌석이 마련되어 있습니다.2. 이용안내 탭 이용시간 수정런치 12:00~14:00 (마지막 입장 13:00)디너 18:00~20:00 (마지막 입장 19:00)*코로나19 영향으로 4월 한 달 간 적용되는 단축영업시간입니다."
978,CONT_000000000500465,퍼시픽 리솜 요트투어 샹그릴라,제주특별자치도 서귀포시 색달동 2950-5 ,,중문 앞 제주바다에서 즐기는 호화로운 요트 투어,"1. 상세정보 내용 수정아름답게 물든 바다와 하늘 사이, 바다 한가운데서 보는 일출과 일몰은 형용할 수 없는 감동을 선사합니다. 요트 위에서 짜릿한 손맛을 느끼고 갓 잡은 생선회를 맛봅니다. 주상절리를 매우 가까이에서 볼 수 있고, 요트 물살을 따라 헤엄치는 야생 돌고래와 만나기도 합니다. 바다수영, 스노클링, 프러포즈 등 별도의 특별한 요트 체험까지 가능합니다.2. 이용안내 탭 이용시간 수정- 이용시간: 퍼시픽 리솜 홈페이지 참고"
983,CONT_000000000500707,휴애리 자연생활공원,제주특별자치도 서귀포시 남원읍 신례리 2081 ,,자연속 동·식물들과 교감이 있는 체험형 자연생활공원,"이용안내 중상세정보 : 연중무휴 / 체험이용시간 감귤체험, 승마체험 이용시 17:00까지 입장해야 체험가능'이용시간' 삭제 , 이용시간 삭제 대신 - 입장마감 : 하절기(4월~10월) 17:30, 동절기(11월~3월) 16:30 "
986,CONT_000000000500707,휴애리 자연생활공원,제주특별자치도 서귀포시 남원읍 신례리 2081 ,,자연속 동·식물들과 교감이 있는 체험형 자연생활공원,"이용시간에 '평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00' 을 삭제해 주시고,이용시간 -> 입장시간으로 정정 부탁드립니다.입장시간 : 09:00 ~ 17:30 (4~10월), 09:00~16:30(11~3월)"
988,CONT_000000000500103,노루생태관찰원,제주특별자치도 제주시 봉개동 산 51-2 ,,제주의 야생 노루를 언제든지 가까이서 만날 수 있는 곳,"노루먹이주는 시간인 오전9시, 오후 3시 30분경에 방문하시면 더 많은 노루를 관찰할 수 있습니다.위 부분을 아래와 같이 수정하여 주십시요노루먹이주기 체험은 오전9시 부터 오후 3시30분 까지이며(노루 상태에 따라 조기 마감할 수 있음) 그 이후에는 노루를 구경 할 수만 있습니다."
989,CONT_000000000500707,휴애리 자연생활공원,제주특별자치도 서귀포시 남원읍 신례리 2081 ,,자연속 동·식물들과 교감이 있는 체험형 자연생활공원,금일(20.05.06) 부로 휴애리 승마체험이 종료되었습니다. 정보내 승마와 관련된 모든 사항을 삭제 부탁드립니다.
687,CNTS_200000000007999,제주치유숲 Global Ageing 치유농장,제주특별자치도 제주시 구좌읍 김녕리 731 ,,자양에 젖줄 찾아 떠나는 이들이 모여 지내는 곳.  고요하고 섬세한 속에서  잠시나마 머물며 스스로 찾는 시간이 있는 곳.,이곳은 위빳사나 명상하는 곳입니다.마음의 여러 현상 관찰하는 이들이 모여 좋아함  싫어함  성냄 등도 명칭을 붙이며.. 관찰하는 곳이며 고요함과 섬세함에서 온전히 스스로 당김과 닿음만이 분석을 통하여 알아차림 합니다. 
702,CNTS_000000000019729,한림공원매화축제,제주특별자치도 제주시 한림읍 협재리 2487 ,,아름다운 매화가 매서운 겨울 바람을 이겨내고 한림공원 매화정원에서 단아한 자태를 뽐냅니다.,"제 20회 제주의 봄 소식 한림공원 매화축제 일시 : 2019. 2. 1(금) ~ 2019. 2.28(목)새 봄! 봄의 전령사 매화를 만나보세요.  매화 · 수선화정원에는 버드나무처럼 늘어지는 80년생 능수매화가 장관을 이루며, 20년 이상 된 백매화, 홍매화, 겹백매화, 겹홍매화, 청매화 등이 만발하여  한림공원을 방문한 관광객들에게 제주의 봄소식을 전하고 있습니다.  한림공원 매화정원에서 고고한 매화의 기품과  수선화 향기와 함께 성큼 다가온 봄의 기운을 만끽해 보세요.   ※ 축제 프로그램   - 매화 정원 개장   - 매화 인증샷 이벤트   - 매화 분재 전시회   / 장소 : 제주 석 · 분재원   - 매화 시화전 / 장소 : 매화 정원 내   - 매화꽃차, 매화쿠키, 매화비누   / 장소 : 매화정원"
789,CNTS_200000000008631,2019 봄 시즌글라스 녹차 페스티벌 청초밭 제주,제주특별자치도 서귀포시 표선면 성읍리 2497 ,, 서귀포시 표선면 성읍리 일대 청초밭에 조성되어 있는 100만 평의 녹차밭에서 열리는 녹차 페스티벌. ,사진 변경 부탁드립니다!썸네일 사진은 아이 네명 손잡고 녹차밭 걷는 모습으로 변경 부탁드립니다 ^^ 감사합니다~ 
858,CNTS_000000000001158,메이즈랜드,제주특별자치도 제주시 구좌읍 평대리 3322 ,,"돌, 바람, 여자, 제주의 삼다를 녹인 미로공원","요금정보 성인 (대학생이상) : 11,000원청소년(중고생) : 9,000원어린이(36개월 ~ 초등학생) : 8,000원장애인(1-6급) : 5,000원"
